10  179.587165652832 166.214436444701 155.261109754771	-0.5	-0.125	-0.055
15  90.3989923065489 90.2566154838333 90.232120615862	-0.5	-0.125	-0.055
20  50.8176913597488 50.7480943253129 50.4810985504981	-0.5	-0.125	-0.055
25  32.4727762467589 32.4814045844006 32.3760509846892	-0.5	-0.125	-0.055
30  22.5949111986864 22.5636240075597 22.532014706427	-0.5	-0.125	-0.055
35  16.6012822007499 16.568135475181 16.5429697386814	-0.5	-0.125	-0.055
40  12.6744114160226 12.6546701172787 12.646712423317	-0.5	-0.125	-0.055
45  10.0096752955864 9.99216405715715 9.98484000924752	-0.5	-0.125	-0.055
50  8.11244544936699 8.12232316987141 8.09523805493593	-0.5	-0.125	-0.055
55  6.70180492482602 6.68483837192289 6.67756154475385	-0.5	-0.125	-0.055
60  5.63059626870036 5.61038665366089 5.61014448952596	-0.5	-0.125	-0.055
65  4.80366496822505 4.78986196894565 4.78398814043528	-0.5	-0.125	-0.055
70  4.14091733603691 4.13119150931465 4.11751338457985	-0.5	-0.125	-0.055
75  3.59941269036965 3.59103493956978 3.58176261721197	-0.5	-0.125	-0.055
80  3.16539960559117 3.15728632384036 3.13982268109803	-0.5	-0.125	-0.055
85  2.79965487333225 2.79626764604461 2.78297274961862	-0.5	-0.125	-0.055
90  2.49880052353588 2.49735717229327 2.48895849263019	-0.5	-0.125	-0.055
95  2.24413952320937 2.23929521476544 2.23264001877478	-0.5	-0.125	-0.055
100  2.02358690933224 2.0088615204339 2.01294043986606	-0.5	-0.125	-0.055
105  1.82729811209518 1.83236154588769 1.81890609955417	-0.5	-0.125	-0.055
110  1.67238720904291 1.66786837488453 1.66160520976049	-0.5	-0.125	-0.055
115  1.5298764496885 1.52549897000401 1.5202006620298	-0.5	-0.125	-0.055
120  1.40354892572727 1.40104044116637 1.39647013228874	-0.5	-0.125	-0.055
125  1.29405801453132 1.29025231546499 1.2859881051279	-0.5	-0.125	-0.055
130  1.19599141259937 1.19210070352644 1.18867132370393	-0.5	-0.125	-0.055
135  1.10875491466048 1.10535899342838 1.10182957651081	-0.5	-0.125	-0.055
140  1.03061268974558 1.02735945400088 1.02417157499325	-0.5	-0.125	-0.055
145  0.960384466085316 0.957445527811644 0.954231201677624	-0.5	-0.125	-0.055
150  0.896922863937928 0.894549729170874 0.891410937962601	-0.5	-0.125	-0.055
155  0.83980332621572 0.837326039963108 0.834412755119616	-0.5	-0.125	-0.055
160  0.788100295938894 0.785442788279757 0.782591708413224	-0.5	-0.125	-0.055
165  0.740826429699939 0.738253839292757 0.73581839685588	-0.5	-0.125	-0.055
170  0.69767856208644 0.695294531748162 0.69282310683053	-0.5	-0.125	-0.055
175  0.658194201464448 0.6558436872192 0.653537341780731	-0.5	-0.125	-0.055
180  0.621934997984561 0.619597751601905 0.617585752411316	-0.5	-0.125	-0.055
185  0.588503607530331 0.586484864778718 0.584326449724324	-0.5	-0.125	-0.055
190  0.557832812409614 0.555835502703369 0.553736289333972	-0.5	-0.125	-0.055
195  0.529450090417261 0.527500971371976 0.52550692757721	-0.5	-0.125	-0.055
